*Au+ Q  % XX344LF006.TextGrid
*itshe+ it-\S_hE  % XX130LF025.TextGrid
*ivakalise+ ivak_>alisE  % XX155CM024.TextGrid
*iveki ivik_>i  % XX311CM021.TextGrid
*iveki vek_>i  % XX026LF029.TextGrid
*ixesha |\|\ESa  % XX077LM015.TextGrid XX142CF015.TextGrid XX146LM015.TextGrid
*iya+ ija  % XX334CM021.TextGrid
*iz+ iz  % XX208CF038.TextGrid
*iz0ko+ iz0k_>O  % XX067LF026.TextGrid
*izi+ izi  % XX164CF021.TextGrid XX208CF038.TextGrid XX312LM021.TextGrid
*izingcwa+ izi|\_v~wa  % XX211LM031.TextGrid
*izipenapenekayo+ izip_>Enap_>EnEk_>ajO  % XX397LM037.TextGrid
*iziqhu+ izi!\_hu  % XX012LF032.TextGrid XX055LF021.TextGrid
*iziqhushumb+ izi!\_huSumb  % XX319CF026.TextGrid
*iziqhushumbi+ izi!\_huSumbi  % XX147CF021.TextGrid XX215LF030.TextGrid
*izitrato iztrat_>O  % XX094LF013.TextGrid
*izolweli+ izOlweli  % XX319CF038.TextGrid
*ka+ k_>a  % XX143LM034.TextGrid
*ka+ k_>au  % XX016LM025.TextGrid
*kaMatshi k_>amat-\S_h  % XX155CM006.TextGrid
*kakuhle k_>ak_>KE  % XX026LF016.TextGrid
*kama+ k_>ama  % XX227LF038.TextGrid
*kamang+ k_>amaNg  % XX026LF024.TextGrid
*kamongameli k_>amaNgameli  % XX041LF024.TextGrid
*kamongameli k_>amENgameli  % XX054CF022.TextGrid
*karhulumente k_>uxulumEnt_>  % XX102CF032.TextGrid
*khawu+ k_hawu  % XX213LF024.TextGrid XX261LM023.TextGrid
*khawuphinde p_hindE  % XX225LF028.TextGrid
*khawuqhu+ k_hawu!\_hu  % XX213LF024.TextGrid
*kiwehu+ k_>iweh\u  % XX263LM032.TextGrid
*ko+ k_>O  % XX016LM025.TextGrid XX023LF025.TextGrid XX075CM037.TextGrid XX155CM022.TextGrid XX397LM037.TextGrid
*ko+ k_>O:  % XX184LM032.TextGrid
*koholo+ k_>Oh\OlO  % XX202LM030.TextGrid
*komsebe+ k_>OmsEb_<E  % XX120LF024.TextGrid
*koo+ k_>O:  % XX067LF026.TextGrid
*kooho+ k_>O:h\O  % XX026LF024.TextGrid
*koohola k_>O:h\OlO  % XX014LF032.TextGrid XX211LM031.TextGrid XX215LF030.TextGrid XX273LF023.TextGrid
*koohola k_>Oh\OlO  % XX269LF023.TextGrid
*koohola k_>wE:h\OlO  % XX067LF026.TextGrid
*kooholo k_>O:h\OlO  % XX218LF035.TextGrid XX227LF038.TextGrid XX268LM034.TextGrid
*kooholo k_>Oh\OlO  % XX162CF021.TextGrid XX179LM032.TextGrid
*kr+ k-\x_>  % XX067LF026.TextGrid
*krum+ k-\x_>um  % XX067LF026.TextGrid
*ku+ k_>u  % XX007LF114.TextGrid XX023LF025.TextGrid XX067LF026.TextGrid XX243LF012.TextGrid
*kuAgasti k_>uagast_>  % XX188LM023.TextGrid XX282LF024.TextGrid
*kuFebruwari k_>ufEb_0ari  % XX172LM037.TextGrid
*kuJanyuwari k_>ud-\zhaJuwari  % XX220LF135.TextGrid
*kuJuni k_>ud-\Zun  % XX202LM006.TextGrid
*kuMatshi k_>umat-\S_h  % XX050CF014.TextGrid XX072LF006.TextGrid XX077LM014.TextGrid XX108LM006.TextGrid
*kuMeyi k_>umE-\ij  % XX023LF016.TextGrid
*kuNo+ k_>unO  % XX085LM014.TextGrid
*kule k_>ulO  % XX382LM027.TextGrid
*kulwa k_>ulwa  % XX075CM037.TextGrid
*kumhla+ k_>umKa  % XX341LF006.TextGrid
*kumnya+ k_>umJa  % XX341LF006.TextGrid
*kuneen+ k_>unE:n  % XX191LM001.TextGrid
*kungolwesingaphi k_>uNgOlOsiNgap_hi  % XX152LM014.TextGrid
*kunya+ k_>uJa  % XX134LF014.TextGrid
*kuphe+ k_>up_hE  % XX215LF027.TextGrid
*kuqeqeshelwa u!\E!\ESElwa  % XX243LF012.TextGrid
*kusame+ k_>usamE  % XX161CF030.TextGrid
*kusesikolweni sesk_>Olwen  % XX243LF013.TextGrid
*kwa+ k_>wa  % XX023LF025.TextGrid XX047LM031.TextGrid XX077CM034.TextGrid XX215LF030.TextGrid
*kwa+ k_>wan  % XX182LM021.TextGrid
*kwaNomzamo+ k_>wanOmzamO  % XX396LM013.TextGrid
*kwaba+ k_>wab_<a  % XX012LF032.TextGrid
*kwabant+ k_>wab_<ant_>  % XX155CM022.TextGrid XX245CF036.TextGrid
*kwabantwana k_>wab_<ant_>wan  % XX167CF023.TextGrid
*kwabantwana k_>wab_<ant_>u  % XX131LM037.TextGrid
*kwakhiwa k_>wak_hiwa  % XX161CF021.TextGrid
*kwaman+ k_>waman  % XX014LF032.TextGrid
*kwan+ k_>wan  % XX156CF031.TextGrid
*kwano+ k_>wanO  % XX050CF029.TextGrid XX069LF022.TextGrid
*kwano+ kwanO  % XX184LM032.TextGrid
*kwano+ k_>wano  % XX273LF023.TextGrid
*kwanok+ k_>wanOk_>  % XX183LM021.TextGrid
*kwanoku+ k_>wanok_>u  % XX067LF026.TextGrid
*kwanoku+ k_>O:nOj  % XX012LF032.TextGrid
*kwanokuku+ k_>wanok_>uk_>u  % XX215LF030.TextGrid
*kwanokunyo+ k_>wanok_>uJO  % XX016LM025.TextGrid XX313CF025.TextGrid
*kwanokunyoku+ k_>wanok_>uJok_>u  % XX162CF021.TextGrid
*kwanokunyol+ k_>wanok_>uJol  % XX047LM031.TextGrid
*kwanokunyoluka k_>wanok_>uJoluk_>wa  % XX054CF022.TextGrid XX144CF025.TextGrid XX174LM021.TextGrid
*kwanokunyul0ko k_>wanok_>uJul0k_>O  % XX220LF137.TextGrid
*kwanokutsh+ k_>wanok_>ut-\S_h  % XX056CF028.TextGrid XX208CF038.TextGrid
*kwanokutshe+ k_>wanok_>ut-\S_hE  % XX183LM021.TextGrid
*kwanokutshi+ k_>wanok_>ut-\S_hi  % XX131LM131.TextGrid XX156CF031.TextGrid XX170CF032.TextGrid
*kwanokutshintshi+ k_>wanok_>ut-\S_hint-\Si  % XX227LF038.TextGrid
*kwanokutshintshwa+ k_>wanok_>ut-\S_hint-\S_hwa  % XX013LF030.TextGrid
*kwanokutshiswa k_>wanok_>ut-\S_hiswa  % XX130LF032.TextGrid
*kwanokutshutshi+ k_>wanot-\S_hut-\S_hi  % XX016LM025.TextGrid
*kwanokutshutshiswa k_>wanok_>ut-\S_hint-\S_hwa  % XX014LF032.TextGrid XX115LF038.TextGrid
*kwanokutshutshiswa t-\S_hut-\S_hiswa  % XX013LF030.TextGrid
*kwanokutshutshiswa k_>wanEzok_>ut-\S_hut-\S_hiswa  % XX075CM037.TextGrid
*kwanotshutshisw+ k_>wanot-\S_hut-\S_hisw  % XX155CM022.TextGrid
*kwe+ k_>wE  % XX116LF038.TextGrid XX116LM021.TextGrid XX268LM034.TextGrid XX304LF024.TextGrid XX318LM026.TextGrid
*kwee+ k_>wE:  % XX067LF026.TextGrid
*kweeholo k_>wE:h\OlO  % XX210LM028.TextGrid
*kweho+ k_>wEh\O  % XX197LM025.TextGrid
*kweholo+ k_>wE:h\OlO  % XX130LF032.TextGrid
*kweloku+ k_>wElok_>u  % XX294LM029.TextGrid
*kwem+ k_>wEm  % XX155CM022.TextGrid
*kwemi+ k_>wemi  % XX245CF035.TextGrid
*kwemisebe+ k_>wemisEb_<e  % XX211LM031.TextGrid
*kwemiseben+ k_>wemisEb_<en  % XX021CM023.TextGrid
*kwemisebenzi k_>wamisEb_<end-\zi  % XX196LF029.TextGrid
*kwenk+ k_>wEnk_>  % XX397LM037.TextGrid
*kwenoma+ k_>wEnOma  % XX012LF032.TextGrid
*kwents+ k_>went-\s_>  % XX299LF032.TextGrid
*kwentsimbi k_>went-\s_>imba  % XX047LM015.TextGrid
*kweye+ k_>wEjEi  % XX243LF036.TextGrid
*kweyeSilimela kwEyeslimEla  % XX015LF024.TextGrid
*kweyo+ k_>wEjO  % XX102CF006.TextGrid XX269LF023.TextGrid
*kweyoMdumba k_>wEjomdub_<a  % XX025LF036.TextGrid
*kweyoMqungu k_>wEjom!\~uNgu  % XX001LF038.TextGrid
*kweyom+ k_>wEjOm  % XX092CM024.TextGrid
*kwez+ k_>wez  % XX211LM031.TextGrid
*kwi+ k_>wi  % XX359LF011.TextGrid
*kwibhuki+ k_>wib_0uki  % XX183LM030.TextGrid
*kwider+ k_>wid_0Er  % XX014LF022.TextGrid
*kwihuku k_>weh\uk_>u  % XX263LM032.TextGrid
*kwilokishi k_>wilok_>iS  % XX056CF012.TextGrid
*kwin+ k_>win  % XX116LF006.TextGrid
*kwisithili k_>wist_hil  % XX170LM010.TextGrid
*kwisitshayina k_>wist-\S_hajna  % XX138CM017.TextGrid
*kwiv+ k_>wif  % XX238LM035.TextGrid
*l+ l  % XX056CF015.TextGrid XX319CF026.TextGrid XX346LM015.TextGrid XX359LF023.TextGrid
*la+ la  % XX193LM024.TextGrid
*le lE  % XX143LM027.TextGrid
*le+ lE  % XX117LF005.TextGrid XX161CF032.TextGrid
*ledolo+ lEd_0Olo  % XX312LM034.TextGrid
*ledolo+ lEdOlO  % XX161CF024.TextGrid
*ledolophu lEdOlop_h  % XX054CF021.TextGrid XX191LM001.TextGrid
*ledolophu lEdOlop_hi  % XX218LF032.TextGrid XX400CF024.TextGrid
*ledolophu lEdElop_h  % XX164CF037.TextGrid
*lelesithandathu lElest_handat_hu  % XX381LF009.TextGrid
*lemi+ lemi  % XX397LM037.TextGrid
*lesh+ leS  % XX218LF009.TextGrid
*leshumi leSum  % XX077CM009.TextGrid XX209CF009.TextGrid
*leshumi leshum  % XX119LF009.TextGrid
*lesihlanu lesKanu  % XX312LM021.TextGrid
*lesithathu lest_hat_h  % XX312LM021.TextGrid
*lesixhenxe lEs|\|\_hE|\|\~E  % XX164CM009.TextGrid
*letshum+ letSum  % XX382LM009.TextGrid
*li+ li  % XX000LF021.TextGrid XX054CF015.TextGrid XX349LM015.TextGrid
*libi+ lib_<i  % XX089LF025.TextGrid XX103LM027.TextGrid
*licala i|\ala  % XX063LF015.TextGrid
*ligama gama  % XX360LF013.TextGrid
*lis+ lis  % XX270LF033.TextGrid
*lish+ liS  % XX239LF009.TextGrid
*lishumi liSumu  % XX273LF025.TextGrid
*lo+ lO  % XX120LF024.TextGrid
*loba+ lOb_<a  % XX184LM032.TextGrid
*lobutitshala lob_<t_>iSala  % XX096LM009.TextGrid
*lokugqibela lok_>!\_vib_<Ela  % XX089LF024.TextGrid
*lokuqala lok_>!\ala  % XX347LF031.TextGrid
*lokuqhatha lo!\_hat_ha  % XX175LM020.TextGrid
*lonkq+ lO!\~  % XX097LM029.TextGrid
*loq+ lO!\  % XX097LM029.TextGrid
*loqh+ lO!\_h  % XX097LM029.TextGrid
*loqhi+ lo!\_hi  % XX097LM029.TextGrid
*luxol+ lu|\|\_hOl  % XX050CF008.TextGrid
*lwamanani lwamanan  % XX179LM026.TextGrid XX193LM030.TextGrid XX218LF021.TextGrid XX270LF035.TextGrid
*lwamanani lwamana-\in  % XX213LF031.TextGrid XX269LF027.TextGrid
*lwamananiA lwamana-\in  % XX210LM025.TextGrid
*lwamanwan lwamanwan  % XX215LF035.TextGrid
*lwayo+ lwajO  % XX152LM030.TextGrid
*lweenkonzo lwE:Nk_>Ob_<E  % XX400CF023.TextGrid
*lwenze lEnd-\zE  % XX073LM023.TextGrid
*lwesitha+ lwesit_ha  % XX108LM033.TextGrid
*m+ m  % XX000LF102.TextGrid XX164CM003.TextGrid XX211LM031.TextGrid XX349LM015.TextGrid
*mabamhomh+ mab_<amOm  % XX151CM034.TextGrid
*mama ma  % XX124LM008.TextGrid
*man+ man  % XX082LF029.TextGrid
*mashumi maSumi  % XX100LM126.TextGrid
*mel+ mEl  % XX001LF033.TextGrid
*mfama+ mfama  % XX206LF027.TextGrid
*mfowethu mfet_hu  % XX146LM014.TextGrid
*mhi+ mi  % XX116LM009.TextGrid
*mhl+ mK  % XX100LM106.TextGrid
*mhla mKa  % XX313CF014.TextGrid
*mhokamhokana mOk_>amOk_>ana  % XX050CF029.TextGrid XX075CM037.TextGrid XX077CM034.TextGrid
*mhokamhokana+ mOk_>amOk_>ana  % XX012LF032.TextGrid
*mi+ mi  % XX340CF027.TextGrid XX349LM015.TextGrid
*mihlanu Kanu  % XX174LM015.TextGrid
*mihlanu miKani  % XX162CF038.TextGrid
*mna a  % XX294LM011.TextGrid
*mpenapena mp_>Enap_>Ena  % XX014LF032.TextGrid
*mv+ mv  % XX100LM114.TextGrid
*n+ n  % XX073LM005.TextGrid XX101LF022.TextGrid XX143LM028.TextGrid XX211LM031.TextGrid XX334CM015.TextGrid XX359LF023.TextGrid
*na+ na  % XX130LF036.TextGrid XX268LM034.TextGrid XX297LM029.TextGrid
*namashumi namaSum  % XX047LM021.TextGrid
*namhlanje namKan  % XX146LM014.TextGrid
*namhlanje namKa  % XX164CM014.TextGrid
*nani+ nani  % XX102CM031.TextGrid
*nceda da  % XX349LM029.TextGrid
*ndi+ ndi  % XX000CM004.TextGrid XX101LF022.TextGrid
*ndifuna funa  % XX340CF024.TextGrid
*ndifuna una  % XX240LF026.TextGrid
*ndifunda funda  % XX092CM010.TextGrid
*ndigquma ndi!\_huma  % XX120LM021.TextGrid
*ndihlala Kala  % XX120LM012.TextGrid XX145LM012.TextGrid
*ndihlala ndKala  % XX186LM012.TextGrid
*ndihlala nKala  % XX263LM012.TextGrid
*ndiki+ ndik_>i  % XX038LF019.TextGrid
*ndikwidolophu ndik_>widOlop_hi  % XX004CF011.TextGrid
*ndilipele ndilp_>ElE  % XX282LF021.TextGrid
*ndina+ ndina  % XX270LF019.TextGrid
*ndinama+ ndinama  % XX044CF005.TextGrid
*ndineminyaka ndinamaJak_>a  % XX084LM005.TextGrid XX261LM005.TextGrid
*ndingayiqinisekisa Ngaji!\inisek_>isa  % XX396LM033.TextGrid
*ndinguMonwabisi ndiNgumOnwab_<is  % XX261LM004.TextGrid
*ndiqeqesha !\E!\ESa  % XX119LF030.TextGrid
*ndiqhuma+ ndi!\_huma  % XX120LM021.TextGrid
*ndiqinis0seki+ ndi!\inis0sek_>i  % XX172LM033.TextGrid
*ndise+ ndisE  % XX164CM011.TextGrid
*ndisebenz+ ndisEb_<End-\z  % XX359LF019.TextGrid
*ndisebenzisa sEb_<ens  % XX179LM019.TextGrid
*ndisebenzisa sEb_<end-\zis  % XX146LM019.TextGrid
*ndisebenzisa seb_<enzisa  % XX040LM019.TextGrid
*ndisebenzisa sEb_<end-\zisa  % XX138CM019.TextGrid
*ndiseneloku+ ndisEnElok_>u  % XX007LF232.TextGrid
*ndisiva siva  % XX026LF016.TextGrid
*nditha+ ndit_ha  % XX191LM032.TextGrid
*ndithetha t_hEt_ha  % XX120LM011.TextGrid XX130LF011.TextGrid
*ndithetha t_hEtha  % XX076LM011.TextGrid
*ndithetha nt_hEt_ha  % XX145LM011.TextGrid
*nditshatile nt-\S_hat_>ilE  % XX026LF018.TextGrid XX138CM018.TextGrid XX400CF018.TextGrid
*nditshatile ndit-\S_hat_>il  % XX332LF018.TextGrid XX384LM018.TextGrid
*nditshatile nt-\S_hat_>il  % XX164CF018.TextGrid
*ndivume+ ndivumE  % XX143LM021.TextGrid
*ndiyakwazi ndijak_>waz  % XX089LF016.TextGrid
*ndiyasiv+ ndijasiv  % XX337LF016.TextGrid
*ndiyasiva ndijasiv  % XX022LF016.TextGrid XX382LM016.TextGrid
*ndiyasiva ndasiva  % XX000LM116.TextGrid
*ndiyind+ ndijind  % XX316LM004.TextGrid
*ndiyindoda indOda  % XX120LM004.TextGrid
*ndizakuyibhukisha ndizak_>ujib_0uk_>iSa  % XX245CF028.TextGrid
*ne+ nE  % XX180LM032.TextGrid XX218LF035.TextGrid XX273LF023.TextGrid
*ne+ nE:  % XX100LM126.TextGrid
*nedem+ nEd_0Em  % XX193LM025.TextGrid
*nedemokrasi nEd_0EmOkrat_>r  % XX193LM025.TextGrid
*neebh+ nE:b_0  % XX077LM034.TextGrid
*neebho+ nE:b_0O  % XX001LF031.TextGrid
*needyunivesithi nE:nJ\univesit_hi  % XX152LM027.TextGrid
*neen+ nE:n  % XX211LM031.TextGrid
*nemizi+ nemizi  % XX031LF021.TextGrid
*nen+ nen  % XX013LF030.TextGrid
*nengqi+ ne!\_v~i  % XX039LM028.TextGrid
*nenkqubo neN!\ub_<Ek_>O  % XX151CM034.TextGrid
*nesibhozo nesb_0OzO  % XX096LM028.TextGrid
*nesibini nesb_<in  % XX096LM028.TextGrid
*nesihlanu nesKanu  % XX096LM035.TextGrid
*nesithandathu nest_handat_h  % XX096LM035.TextGrid
*nesithandathu nest_handat_hu  % XX096LM028.TextGrid
*nezif+ nezif  % XX161CF021.TextGrid
*ng+ N  % XX161CF006.TextGrid XX167CF023.TextGrid XX191LM015.TextGrid XX208CF024.TextGrid XX213LF033.TextGrid
*ngama+ Ngama  % XX202LM015.TextGrid XX220LF015.TextGrid
*ngamashumi NgamaSum  % XX172LM005.TextGrid XX280LM005.TextGrid
*ngamashumi maSumi  % XX038LF005.TextGrid XX167CF014.TextGrid
*ngamaxabi+ Ngama|\|\ab_<i  % XX245CF021.TextGrid
*ngamazu+ Ngamazu  % XX339CM015.TextGrid
*nge+ NgE  % XX067LF026.TextGrid XX227LF022.TextGrid
*ngeen+ NgE:n  % XX211LM031.TextGrid
*ngenja;ixukuxa Ngend-\Zu|\|\uk_>u|\|\a  % XX312LM030.TextGrid
*ngenjixukuxa nd-\ZENgend-\Zi|\|\uk_>u|\|\a  % XX242LF030.TextGrid
*ngenkqi+ NgeN!\i  % XX167CF023.TextGrid
*ngetho+ NgEt_hO  % XX397LM021.TextGrid
*ngo+ NgO  % XX108LM006.TextGrid XX108LM023.TextGrid XX124LM033.TextGrid
*ngo+ Ngo  % XX000CM014.TextGrid
*ngoLwesi+ NgOlEsi  % XX238LM035.TextGrid
*ngoLwesibini NgOlwesb_<ini  % XX222LM033.TextGrid
*ngoMv+ Ngom=v  % XX242LF036.TextGrid
*ngobu+ Ngob_<u  % XX270LF036.TextGrid
*ngokhawule+ Ngok_hawulE  % XX258LM034.TextGrid
*ngoku Ngo  % XX025LF015.TextGrid
*ngokukhawuleza Ngok_>uk_hawlEza  % XX085LM020.TextGrid
*ngomhl+ NgOmK  % XX108LM006.TextGrid
*ngononto NgOnOnt_>O  % XX124LM033.TextGrid
*ngu gu  % XX054CF020.TextGrid XX314LF015.TextGrid
*ngu+ Ngu  % XX089LF014.TextGrid XX193LM006.TextGrid XX193LM023.TextGrid XX258LM015.TextGrid
*ngu+ gu:  % XX334CM015.TextGrid
*nguL+ Ngul  % XX220LF025.TextGrid
*ngufo+ Ngufo  % XX131LM134.TextGrid
*ngum+ Ngum  % XX056CF014.TextGrid
*ngumhedeni NgumhEden  % XX161CF034.TextGrid
*ngumhla mKa  % XX033LF014.TextGrid XX113LF006.TextGrid XX120LM006.TextGrid XX207LF014.TextGrid XX245CF006.TextGrid XX255LM014.TextGrid XX336CM014.TextGrid XX341LF014.TextGrid
*ngumhla gumKa  % XX073LM014.TextGrid XX174LM014.TextGrid XX334CM014.TextGrid
*ngumtsham+ Ngumt-\S_ham  % XX336CM014.TextGrid
*nguno+ NgunO  % XX136LF002.TextGrid
*ni+ na-\i  % XX102CM027.TextGrid XX106LF033.TextGrid XX116LM014.TextGrid XX144CF006.TextGrid XX338CM014.TextGrid
*ni+ na  % XX297LM007.TextGrid
*ni+ na:  % XX147CF029.TextGrid
*nine na-\in  % XX085LM007.TextGrid
*nine na-\i  % XX012LF034.TextGrid
*nine+ na-\in  % XX312LM014.TextGrid
*no+ nO  % XX100LM026.TextGrid XX269LF028.TextGrid
*no+ no  % XX179LM032.TextGrid
*nobundlobongela nob_<uK\Ob_<ONgEla  % XX120LM022.TextGrid
*noku+ nok_>u  % XX183LM021.TextGrid XX234CM035.TextGrid
*noku+ noku  % XX054CF022.TextGrid
*nokuba nob_<a  % XX007LF017.TextGrid
*nokunyoluka nok_>uJoluk_>a  % XX016LM025.TextGrid
*nokusibhala nok_>usb_0ala  % XX089LF016.TextGrid
*nolu+ nolu  % XX145LM026.TextGrid
*nomanyaka+ nOmaJak_>a  % XX090LM005.TextGrid
*now+ nO  % XX161CF014.TextGrid
*ntimbi nt_>imbi  % XX299LF032.TextGrid
*ntsu+ nt-\s_>u  % XX344LF031.TextGrid
*nyoluka Joluk_>a  % XX162CF021.TextGrid
*o+ O  % XX004CF001.TextGrid XX013LF030.TextGrid XX097LM029.TextGrid XX167CF023.TextGrid XX273LF023.TextGrid
*o+ wa  % XX089LF012.TextGrid
*oh O  % XX053LM007.TextGrid
*oh+ O-\u  % XX334CM034.TextGrid
*oh+ O  % XX193LM023.TextGrid
*okanye ik_>aJE  % XX002LF034.TextGrid
*ols+ Ols  % XX304LF023.TextGrid
*olusemva elusEmva  % XX258LM029.TextGrid
*olwe+ OlwE  % XX128LF024.TextGrid
*one an  % XX155CM020.TextGrid
*onxi+ o|\|\~i  % XX211LM031.TextGrid
*onxibe0le0lwano o|\|\~ub_<E0lE0lwanO  % XX155CM022.TextGrid
*onxibelelwano a|\|\~ib_<ElElwanO  % XX227LF038.TextGrid
*onxo+ O|\|\~O  % XX136LF022.TextGrid
*onxubelelwa+ o|\|\~ub_<ElElwa  % XX056CF028.TextGrid
*owesixhenxe k_>Owesi|\|\_hE|\|\~E  % XX162CF030.TextGrid
*past pas  % XX062LF015.TextGrid XX186LM015.TextGrid
*phambi p_hamb  % XX044CF024.TextGrid XX111LF032.TextGrid XX162CF038.TextGrid
*phambi p_ham  % XX111LF035.TextGrid XX113LF020.TextGrid
*phambi p_hambu  % XX091LM036.TextGrid
*phe+ p_hE  % XX304LF024.TextGrid
*private fi-\ar@t  % XX077LM012.TextGrid
*publi+ pabli  % XX193LM019.TextGrid
*rand ran  % XX150LF035.TextGrid XX173LM027.TextGrid
*s+ s  % XX054CF008.TextGrid XX097LM025.TextGrid XX193LM023.TextGrid XX215LF022.TextGrid XX323LF025.TextGrid
*sakuCofimvaba sak_>|\omvab_<  % XX170LM010.TextGrid
*se+ sE  % XX120LF036.TextGrid XX209CF015.TextGrid XX218LF011.TextGrid
*semali sEmal  % XX069LF037.TextGrid
*sev+ sEv  % XX397LM021.TextGrid
*shu+ Su  % XX161CF005.TextGrid
*shum Sum  % XX102CF006.TextGrid
*shumi Sumi  % XX102CM014.TextGrid
*si+ si  % XX025LF033.TextGrid XX054CF007.TextGrid
*si+ isi  % XX202LM017.TextGrid
*sibali sb_<a  % XX025LF015.TextGrid
*sibhekiswa sib_0ek_>swa  % XX007LF017.TextGrid
*sibhozo sb_0OzO  % XX143LM027.TextGrid
*sifum+ sifum  % XX268LM026.TextGrid
*sili+ sili  % XX131LM134.TextGrid
*sipe+ sip_>E  % XX103LM021.TextGrid
*sisi sis  % XX117LF002.TextGrid
*sisihla+ sisihla  % XX131LM134.TextGrid
*sisixhosa sis|\|\_hOsa  % XX054CF008.TextGrid
*sitalato st_>alat_>O  % XX077CM013.TextGrid
*sithandathu st_handat_hu  % XX047LM027.TextGrid XX047LM028.TextGrid
*sitrato st_>rat_>O  % XX377LM013.TextGrid
*six+ si  % XX344LF032.TextGrid
*sixhenxe s|\|\_hE|\|\~E  % XX047LM027.TextGrid
*t+ t  % XX062LF015.TextGrid XX100LM015.TextGrid XX131LM014.TextGrid
*teen+ tin  % XX197LM014.TextGrid
*thandathu t_handat_hu  % XX100LM126.TextGrid
*thir+ T3:  % XX297LM005.TextGrid
*thirt+ TEt  % XX054CF005.TextGrid
*thirt+ TE  % XX000LM107.TextGrid
*thou+ TaU  % XX115LF035.TextGrid
*thousand Ta-\uz@n  % XX015LF024.TextGrid
*thr+ tr  % XX234CM032.TextGrid
*three tra-\I  % XX202LF007.TextGrid
*three Ti  % XX064CF032.TextGrid
*tshiswa t-\S_hiswa  % XX069LF022.TextGrid
*tshutshiswa t-\S_hut-\S_hiswa  % XX156CF031.TextGrid XX208CF038.TextGrid
*twe+ twE  % XX200LF014.TextGrid
*u+ u  % XX012LF029.TextGrid XX091LM030.TextGrid XX143LM029.TextGrid XX173LM026.TextGrid XX179LM021.TextGrid XX182LM021.TextGrid XX318LM006.TextGrid
*u0nxundu+ u0|\|\~undu  % XX211LM031.TextGrid
*uMthatha mt_hat_ha  % XX241LF012.TextGrid
*uMthetheleli umt_hEt_hElu  % XX191LM002.TextGrid
*ubudala ubudal  % XX077LM005.TextGrid
*ubuyithetha ub_<ujt_hEt_ha  % XX117LF032.TextGrid XX118LF023.TextGrid
*uk0undikhangela uk_>0undik_haNgEla  % XX161CF022.TextGrid
*uku+ uk_>u  % XX067LF026.TextGrid XX161CF021.TextGrid XX208CF038.TextGrid XX268LM026.TextGrid
*uku0n0qongophala u0n0!\~ONgOp_hala  % XX152LM027.TextGrid
*uku0nqe+ uk_>u0!\~E  % XX211LM031.TextGrid
*uku0qo+ uk_>u0!\O  % XX115LF038.TextGrid
*uku0qongophala uku0!\ONgOp_hala  % XX211LM031.TextGrid
*ukung+ uk_>uN  % XX273LF023.TextGrid
*ukunkqo+ uk_>uN!\O  % XX167CF023.TextGrid
*ukunqe+ uk_>u!\~E  % XX273LF023.TextGrid
*ukunqena uk_>u!\~ana  % XX215LF030.TextGrid
*ukunqo+ uk_>u!\~O  % XX170CF032.TextGrid
*ukunqo+ uk_>u  % XX183LM021.TextGrid
*ukunqombo+ uk_>u!\~OmbO  % XX026LF024.TextGrid
*ukunqongo+ uk_>u!\~ONgO  % XX184LM032.TextGrid
*ukunqongophala uk_>uNgap_hala  % XX269LF023.TextGrid
*ukuphuhliso uk_>up_huKisa  % XX164CF021.TextGrid
*ukuqhubele+ uk_>u!\_hub_<ElE  % XX261LM027.TextGrid
*ukuqo+ uk_>u!\O  % XX075CM037.TextGrid XX077LM034.TextGrid XX213LF037.TextGrid
*ukuqongo+ uk_>u!\ONgO  % XX180LM032.TextGrid
*ukuqoq+ uk_>u!\O!\  % XX184LM032.TextGrid
*ukuyicima uk_>uj|\ima  % XX023LF031.TextGrid
*ukwa0khiwa uk_>wa0k_hiwO  % XX152LM027.TextGrid
*ukwaz+ uk_>waz  % XX085LM023.TextGrid
*ukwazi uk_>waz  % XX085LM023.TextGrid
*uloliliwe+ ulolili:wE  % XX065LF020.TextGrid
*ulwimi ulwim  % XX244LF008.TextGrid
*um+ um=  % XX350LM036.TextGrid
*um+ um  % XX161CF014.TextGrid
*umhla mKa  % XX077CM027.TextGrid XX172LM014.TextGrid XX179LM026.TextGrid XX340CF033.TextGrid
*umhla umKa  % XX319CF014.TextGrid
*umhlaba umKawa  % XX256LM027.TextGrid
*umla+ um=la  % XX156CF002.TextGrid
*umntwana mt_>wana  % XX014LF026.TextGrid
*umsebenzi umsEb_<end-\z  % XX243LF012.TextGrid
*un+ un  % XX161CF022.TextGrid XX397LM021.TextGrid
*unobhala b_0ala  % XX329LF026.TextGrid
*unobhari unOb_<ari  % XX000LF029.TextGrid
*unoposi ulOp_>osi  % XX039LM027.TextGrid
*uphuhlis+ up_huKis  % XX211LM031.TextGrid
*uphuhliso up_hiKisO  % XX173LM026.TextGrid
*uphumile up_humil  % XX097LM034.TextGrid
*usu+ usu  % XX064CF030.TextGrid
*uthotho t_hOt_hO  % XX131LM031.TextGrid XX156CF038.TextGrid XX400CF021.TextGrid
*utitshala ut_>iSala  % XX123CF029.TextGrid
*utshutshis+ ut-\S_hut-\S_his  % XX069LF022.TextGrid
*utya c_>a  % XX245CF034.TextGrid
*uxanduva u|\|\anduva  % XX319CF026.TextGrid
*uxolo |\|\OlO  % XX207LF036.TextGrid
*va+ va  % XX077CM029.TextGrid XX314LF026.TextGrid
